athlete_id,name,born_date,born_city,born_region,born_country,noc,height_cm,weight_kg,died_date
95635,karlheinz munk,1939-12-11 00:00:00,hergeshallenberg,thringen,ger,germany,169.0,70.0,unknown
95636,julin muoz,1946-07-11 00:00:00,san francisco,california,usa,costa rica,176.0,70.0,unknown
95637,luis muoz,1928-02-12 00:00:00,madrid,madrid,esp,spain,176.0,70.0,19890717
95638,dunc munro,1901-01-19 00:00:00,elgin,scotland,gbr,canada,173.0,86.0,19580103
95639,neil munro,1967-09-23 00:00:00,unknown,unknown,unknown,great britain,180.0,65.0,unknown
95640,dorin munteanu,1946-03-06 00:00:00,moeciu de jos,braov,rou,romania,167.0,63.0,unknown
95641,nicolae munteanu,1931-12-06 00:00:00,unknown,unknown,unknown,romania,176.0,70.0,unknown
95642,timo murama,1912-10-15 00:00:00,rovaniemi,lappi,fin,finland,176.0,70.0,19810117
95643,masao murano,1935-07-31 00:00:00,nikko,tochigi,jpn,japan,168.0,72.0,unknown
95644,yoshinobu murase,1957-03-03 00:00:00,unknown,unknown,unknown,japan,168.0,68.0,unknown
95645,aliaksandr murashko,1971-10-31 00:00:00,minsk,minsk,blr,belarus,174.0,63.0,unknown
95646,mitsuhiro murata,1970-01-26 00:00:00,unknown,unknown,unknown,japan,173.0,68.0,unknown
95647,valery muratov,1946-05-01 00:00:00,kolomna,moskva oblast,rus,soviet union,180.0,77.0,unknown
95648,eddie murphy,1905-02-01 00:00:00,la crosse,wisconsin,usa,united states,176.0,70.0,19730920
95649,dave murray,1953-09-05 00:00:00,montral,qubec,can,canada,174.0,77.0,19901023
95650,herman murray,1909-12-05 00:00:00,montral,qubec,can,canada,176.0,70.0,19981127
95651,jim murray,1946-11-20 00:00:00,helena,montana,usa,united states,181.0,80.0,unknown
95652,johnny murray,1924-01-21 00:00:00,camden,england,gbr,great britain,176.0,70.0,20171118
95653,ray murray,1910-06-14 00:00:00,new york,new york,usa,united states,176.0,70.0,19600309
95654,andrew murtha,1965-10-19 00:00:00,parramatta,new south wales,aus,australia,176.0,70.0,unknown
95655,matti murto,1949-02-09 00:00:00,helsinki,uusimaa,fin,finland,180.0,70.0,20130819
95656,cyril musil,1907-11-23 00:00:00,studnice,vysoina,cze,czechoslovakia,176.0,70.0,19770417
95657,ji musil,1965-06-21 00:00:00,praha prague,hlavn msto praha,cze,czechoslovakia,176.0,70.0,unknown
95658,bogdan musiol,1957-07-25 00:00:00,witochowice,lskie,pol,east germany germany,183.0,86.0,unknown
95659,enrico musolino,1928-08-29 00:00:00,milano,milano,ita,italy,176.0,70.0,20100214
95660,camillo mussi,1911-11-18 00:00:00,besnate,varese,ita,italy,176.0,70.0,19400817
95661,gerhard mussner,1943-10-05 00:00:00,selva di val gardena,bolzanobozen,ita,italy,175.0,75.0,unknown
95662,pierre musy,1910-08-25 00:00:00,albeuve,fribourg,sui,switzerland,176.0,70.0,19901121
95663,johann mhlegg,1970-11-08 00:00:00,marktoberdorf,bayern,ger,germany spain,185.0,80.0,unknown
95664,sepp mhlbauer,1904-05-20 00:00:00,sankt moritz,graubnden,sui,switzerland,176.0,70.0,19950213
95665,manfred mhr,1967-05-31 00:00:00,wien vienna,wien,aut,austria,175.0,80.0,unknown
95666,geir myhre,1954-04-07 00:00:00,oslo,oslo,nor,norway,183.0,81.0,20160722
95667,edi mller,1912-01-08 00:00:00,unknown,unknown,unknown,switzerland,176.0,70.0,19690101
95668,gustl mller,1903-10-23 00:00:00,bayrischzell,bayern,ger,germany,176.0,70.0,19890920
95669,hans mller,1931-03-07 00:00:00,zrich,zrich,sui,switzerland,176.0,70.0,20210826
95670,hansruedi mller,1940-11-08 00:00:00,koblenz,rheinlandpfalz,ger,switzerland,180.0,85.0,unknown
95671,jens mller,1965-07-06 00:00:00,torgau,sachsen,ger,east germany germany,175.0,75.0,unknown
95672,max mller,1916-06-27 00:00:00,davos,graubnden,sui,switzerland,176.0,70.0,20191122
95673,meinrad mller,1961-11-07 00:00:00,laufenburg,aargau,sui,switzerland,180.0,85.0,unknown
